Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
38,249,459,384,412,154.47,42.4,154.47
127,167,390,406,213,517.27,383.4,511.51
19,62,399,126,368,76.84,24.0,76.84
24,103,449,121,358,105.43,25.8,98.46
67,308,228,447,325,273.52,141.8,269.42
34,219,430,90,415,138.63,32.2,137.46
106,120,493,478,333,433.2,179.8,427.59
115,294,462,331,163,468.83,290.6,461.55
127,380,370,253,62,517.72,336.8,511.87
26,32,440,134,438,107.8,20.8,106.97
66,438,304,286,148,280.09,193.0,266.92
8,89,456,72,429,36.38,12.8,34.04
31,123,494,25,427,128.68,36.8,125.75
115,237,215,359,379,468.42,334.4,461.14
77,419,138,401,354,308.78,170.6,308.19
48,457,310,332,418,201.11,58.0,194.42
73,411,111,221,113,311.71,107.6,292.74
95,488,375,194,439,389.26,194.2,382.33
50,210,424,357,372,224.38,91.8,200.58
8,105,403,136,393,35.14,13.0,35.14
41,359,406,478,346,167.07,97.4,165.55
64,435,312,304,460,267.09,93.0,259.23
58,353,409,157,392,238.87,61.6,232.87
66,186,411,422,406,267.65,90.6,266.24
20,234,122,302,138,87.01,25.2,81.6
84,208,448,466,299,341.88,179.8,338.12
74,483,344,250,458,299.43,152.4,296.16
103,484,337,121,446,419.71,177.0,414.78
64,401,412,158,450,259.91,53.0,258.74
44,472,314,361,219,181.14,77.4,177.87
121,269,145,324,421,498.47,407.8,486.51
35,307,439,437,428,140.11,29.4,140.36
89,289,210,401,360,364.53,281.0,359.02
106,487,318,145,370,438.7,249.0,426.26
93,354,223,391,355,377.37,394.8,373.52
63,478,393,403,179,259.11,137.2,254.18
108,363,398,384,76,440.49,218.4,433.46
97,423,353,109,354,399.32,149.8,389.8
61,411,313,432,431,254.76,156.8,246.32
50,51,398,224,468,201.99,26.4,201.99
24,210,423,121,445,98.11,21.8,98.11
90,187,425,487,316,367.13,97.0,361.72
72,484,393,303,451,295.29,74.0,289.68
90,128,411,459,415,363.61,101.0,360.44
63,199,390,366,360,258.52,55.4,253.11
46,491,346,404,428,195.79,119.0,187.25
56,262,443,46,422,226.94,78.6,226.36
55,298,178,406,96,224.55,159.8,221.62
92,405,425,66,401,372.24,144.0,368.82
2,241,54,236,63,11.66,7.4,11.07
29,402,313,444,235,122.28,33.0,119.94
25,122,418,208,454,100.91,16.8,100.91
62,324,199,490,335,250.39,71.2,248.29
42,141,420,290,458,170.6,84.8,170.01
50,442,417,456,317,212.31,102.2,203.87
77,409,181,374,386,318.92,203.4,309.55
90,34,449,381,421,363.08,130.4,361.08
18,369,358,378,426,76.46,21.8,73.14
63,274,456,46,397,252.44,51.8,252.44
50,74,432,258,471,200.74,47.2,200.15
101,422,397,47,472,407.24,113.6,406.07
28,172,384,64,398,116.04,20.4,113.8
10,159,473,134,443,40.36,16.0,40.36
39,60,446,203,406,160.74,40.2,159.57
65,337,418,108,501,265.72,52.0,263.38
67,237,472,444,324,270.65,51.4,269.48
47,301,457,137,405,196.51,51.4,191.92
49,42,415,233,435,199.87,42.6,199.28
12,191,438,142,442,50.66,13.2,50.66
68,434,236,332,408,279.91,100.6,273.81
57,461,378,399,189,235.11,103.6,231.25
28,174,442,65,456,114.8,18.0,114.8
48,230,457,410,419,196.33,87.8,195.74
14,73,364,41,410,59.25,19.2,59.25
80,29,407,324,416,325.34,171.2,322.75
73,439,425,179,390,304.24,133.2,294.38
35,248,449,367,389,145.02,36.6,143.85
23,78,446,72,355,93.49,30.6,93.49
102,35,415,405,374,415.59,237.8,411.84
125,383,80,303,428,508.74,260.8,503.47
49,112,402,294,445,204.54,83.2,199.81
30,55,404,163,373,122.01,26.6,120.84
35,147,380,101,501,140.05,23.8,140.05
61,365,116,406,123,0.0,890.2,244.59
83,354,415,50,407,335.82,125.0,332.17
7,258,220,230,219,28.41,10.8,28.41
52,354,413,168,469,211.54,46.4,209.2
19,18,432,72,377,77.37,12.4,77.37
76,368,371,105,453,308.68,76.4,305.75
38,272,477,132,476,154.36,26.4,152.84
27,126,463,26,437,110.77,33.2,110.77
34,466,330,404,394,146.85,91.8,139.34
127,412,224,158,380,526.78,506.2,511.17
80,266,476,464,377,322.79,235.4,321.86
60,319,459,88,484,242.53,62.6,241.36
71,159,439,425,436,285.81,98.2,284.64
98,232,464,446,233,397.62,248.2,395.03
26,38,436,126,482,107.64,27.6,107.05
15,455,329,502,360,62.18,17.2,62.43
63,383,399,167,398,260.52,88.0,254.52
33,180,380,61,346,134.25,35.0,133.08
62,26,418,255,467,249.3,64.2,249.3
127,236,219,450,408,521.27,433.4,511.07
84,376,351,369,209,340.85,156.6,337.58
83,374,416,67,406,338.24,178.6,335.17
3,430,421,430,406,15.0,11.6,15.0
115,372,116,388,399,473.26,362.8,460.37
78,384,82,451,337,317.71,135.2,315.95
55,440,407,237,437,227.47,88.6,222.05
21,221,460,301,471,84.56,26.6,84.56
76,326,194,420,373,321.43,207.8,306.26
104,472,382,159,442,424.12,207.0,418.95
17,123,415,123,483,68.0,13.0,68.0
56,306,180,450,303,229.69,76.4,226.42
66,203,459,420,348,265.91,60.6,264.15
22,145,463,224,433,91.43,14.0,91.43
121,256,475,410,153,489.85,330.6,484.58
11,97,456,93,412,48.14,15.6,47.31
36,393,428,269,469,147.12,27.6,146.78
56,288,201,456,271,226.25,80.0,225.32
23,293,190,368,211,100.08,27.6,94.33
95,409,412,325,196,394.03,262.4,382.32
48,381,156,264,222,199.61,52.0,192.34
8,286,185,288,152,36.66,7.8,34.66
115,320,410,310,122,469.23,343.6,461.96
10,82,358,50,385,43.18,13.0,43.18
125,69,371,466,303,507.7,332.8,502.53
113,400,400,245,205,472.62,406.2,455.73
88,305,98,480,369,355.79,170.2,354.27
44,47,446,221,434,182.28,59.0,179.8
95,434,344,119,504,385.37,103.0,381.27
119,299,99,431,391,490.4,518.6,477.96
38,377,425,473,326,160.44,50.2,153.41
79,83,461,384,416,320.81,72.8,319.64
69,497,335,413,110,277.88,110.4,276.36
107,439,436,31,444,430.71,143.2,428.71
25,303,425,401,422,99.24,32.0,100.07
96,172,464,440,317,390.75,274.8,385.82
92,171,434,469,307,375.19,216.6,370.85
127,408,403,222,113,533.71,375.0,512.0
11,294,140,288,182,46.14,11.6,46.97
35,299,228,336,163,151.78,81.0,143.88
9,94,461,127,475,38.8,12.6,38.8
124,170,378,413,233,507.37,406.2,497.03
106,447,404,318,191,437.79,293.2,426.07
25,173,404,82,380,105.43,32.6,100.94
20,156,446,84,470,81.94,11.4,81.94
43,200,392,31,404,173.97,88.6,173.97
97,158,471,483,339,393.58,231.4,388.55
65,422,212,365,391,271.18,129.2,262.74
53,386,360,418,314,214.55,113.6,212.79
2,200,422,195,416,8.07,12.0,8.07
44,403,372,441,243,179.99,70.4,177.99
118,112,426,419,330,482.89,498.2,474.3
107,404,216,227,435,442.56,392.8,430.7
54,204,453,404,407,219.64,114.2,219.05
86,456,322,198,420,354.58,151.8,344.23
36,364,392,243,452,147.02,43.8,145.85
29,412,230,317,233,117.64,28.2,117.05
89,108,461,445,409,359.71,205.2,358.54
14,198,393,191,447,56.9,13.8,56.9
74,128,480,396,431,301.17,125.4,296.58
13,458,337,502,345,57.21,12.2,54.53
4,204,106,208,88,19.66,7.0,19.66
119,234,62,406,382,485.37,318.0,476.93
127,450,303,45,427,527.07,323.2,509.96
67,126,447,372,387,272.02,90.0,270.85
85,289,205,475,381,346.59,174.2,341.91
49,366,128,337,228,198.52,113.6,197.01
56,233,427,436,409,229.71,95.0,225.95
21,60,380,121,435,88.47,23.8,87.3
61,104,403,328,431,252.75,87.8,247.2
89,448,432,116,469,359.12,147.0,356.44
126,350,134,322,440,513.7,410.0,507.49
37,464,251,339,226,150.27,44.4,151.1
105,175,433,459,256,426.4,294.8,420.75
103,431,435,412,136,422.32,219.6,412.36
9,96,491,94,452,39.83,12.2,39.83
58,500,335,306,424,238.52,105.8,235.84
13,399,375,368,370,56.53,21.6,55.11
83,389,407,407,158,348.16,199.6,335.86
91,246,127,479,352,376.52,197.0,367.93
42,218,420,61,393,180.12,96.6,168.18
85,407,317,251,474,347.13,62.0,343.96
109,322,101,361,389,447.74,414.0,439.06
63,504,359,342,215,262.74,171.8,253.46
64,452,374,355,184,267.39,62.2,259.19
108,477,314,132,370,443.36,247.2,432.67
85,290,156,476,376,349.89,218.2,341.69
21,192,440,114,423,85.04,16.8,85.04
