Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
86,229,288,66,106,368.3,456.84,345.86
72,342,115,137,226,305.18,153.72,289.46
77,381,209,317,474,321.19,166.36,310.56
117,207,457,471,337,491.71,208.08,470.74
8,362,426,387,418,50.66,12.68,35.63
41,185,287,273,214,177.37,60.36,167.75
66,400,242,182,352,278.69,81.04,266.49
73,367,332,502,177,307.68,123.92,292.99
81,126,97,100,348,336.2,78.08,324.83
38,309,227,170,192,166.23,37.36,155.98
68,273,257,343,476,294.91,109.04,274.91
71,206,323,42,181,292.98,198.56,285.95
13,170,352,200,393,56.25,12.4,53.43
49,198,283,245,127,205.35,103.92,197.01
62,397,445,217,339,266.15,87.24,249.46
40,396,296,355,153,176.37,34.32,163.64
78,202,313,8,257,326.88,331.28,313.85
56,400,423,482,242,226.56,44.56,224.08
32,346,170,236,210,141.3,20.32,129.15
14,467,379,425,344,75.91,15.36,56.5
119,254,502,16,216,488.35,71.92,478.98
99,193,250,391,9,418.17,641.88,397.34
1,10,403,14,399,16.83,12.48,5.66
24,503,194,492,101,112.87,22.16,97.56
20,379,438,329,376,130.81,29.72,83.88
81,129,59,159,266,337.17,63.84,324.93
70,127,503,227,371,295.4,92.4,281.79
40,95,155,7,277,177.1,24.44,160.79
76,111,91,174,237,324.0,78.32,305.86
110,15,199,373,351,457.63,188.16,441.67
98,428,414,335,111,419.06,369.8,395.16
73,267,61,474,62,305.12,111.24,292.74
41,475,269,432,401,177.55,17.56,164.72
36,466,364,364,263,159.01,28.44,147.35
70,335,104,357,325,324.08,191.68,283.79
32,276,321,395,301,137.14,18.52,129.04
26,373,327,375,226,129.08,27.08,105.97
89,161,200,141,448,374.37,518.88,358.17
47,161,278,194,134,196.01,140.84,189.95
68,329,336,98,328,317.75,185.52,275.21
70,331,165,382,423,310.38,130.48,280.3
50,425,73,308,90,220.11,44.56,203.97
110,53,467,150,134,459.43,621.96,443.33
92,329,280,503,161,382.97,247.92,370.87
73,260,422,246,193,310.05,125.8,292.1
63,329,224,408,443,282.89,130.2,252.89
76,358,218,210,417,322.97,231.8,304.18
109,246,352,459,44,460.24,192.48,437.26
118,80,177,373,400,491.9,169.32,475.01
56,319,339,225,426,237.81,130.08,226.54
79,108,202,378,159,347.35,286.0,319.74
74,27,149,52,334,307.26,100.16,297.99
85,303,98,490,357,371.04,137.04,343.09
57,282,402,481,375,242.37,55.56,231.68
31,94,150,71,246,138.78,18.64,125.41
52,340,205,154,260,255.95,105.72,210.2
25,233,164,299,238,127.1,26.24,102.51
102,270,312,352,18,433.91,687.64,409.85
1,399,235,403,236,8.41,11.6,4.41
73,351,200,167,383,319.39,154.16,292.02
125,318,178,6,349,526.04,1051.44,500.04
65,153,311,7,464,269.33,47.16,262.85
39,255,362,118,415,180.71,36.2,158.95
