Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
38,249,459,384,412,154.47,30.8,154.47
127,167,390,406,213,516.58,170.4,511.51
19,62,399,126,368,76.84,17.0,76.84
24,103,449,121,358,104.84,18.8,98.46
67,308,228,447,325,274.11,74.8,269.42
34,219,430,90,415,138.63,18.2,137.46
106,120,493,478,333,429.1,112.6,427.59
115,294,462,331,163,466.48,144.4,461.55
127,380,370,253,62,515.38,188.4,511.87
26,32,440,134,438,107.8,16.2,106.97
66,438,304,286,148,276.58,105.0,266.92
8,89,456,72,429,34.63,12.4,34.04
31,123,494,25,427,125.75,28.6,125.75
115,237,215,359,379,469.0,180.2,461.14
77,419,138,401,354,309.36,93.4,308.19
48,457,310,332,418,197.59,44.2,194.42
73,411,111,221,113,309.36,77.8,292.74
95,488,375,194,439,386.33,109.4,382.33
50,210,424,357,372,223.21,47.2,200.58
8,105,403,136,393,35.14,12.0,35.14
41,359,406,478,346,166.48,55.6,165.55
64,435,312,304,460,264.16,82.6,259.23
58,353,409,157,392,236.52,33.4,232.87
66,186,411,422,406,269.89,46.0,266.24
20,234,122,302,138,89.15,17.0,81.6
84,208,448,466,299,340.71,116.0,338.12
74,483,344,250,458,303.82,98.2,296.16
103,484,337,121,446,418.53,106.4,414.78
64,401,412,158,450,258.74,26.6,258.74
44,472,314,361,219,179.97,47.4,177.87
121,269,145,324,421,500.03,206.6,486.51
35,307,439,437,428,140.7,25.4,140.36
89,289,210,401,360,366.88,158.0,359.02
106,487,318,145,370,428.74,140.4,426.26
93,354,223,391,355,378.55,192.4,373.52
63,478,393,403,179,259.11,80.0,254.18
108,363,398,384,76,436.97,119.0,433.46
97,423,353,109,354,392.29,90.4,389.8
61,411,313,432,431,254.18,71.8,246.32
50,51,398,224,468,201.99,34.4,201.99
24,210,423,121,445,98.11,16.0,98.11
90,187,425,487,316,365.96,79.2,361.72
72,484,393,303,451,295.43,49.2,289.68
90,128,411,459,415,362.92,64.4,360.44
63,199,390,366,360,259.01,38.0,253.11
46,491,346,404,428,195.79,63.8,187.25
56,262,443,46,422,229.43,41.8,226.36
55,298,178,406,96,223.97,97.0,221.62
92,405,425,66,401,372.48,91.6,368.82
2,241,54,236,63,14.83,7.4,11.07
29,402,313,444,235,128.87,23.0,119.94
25,122,418,208,454,100.91,14.6,100.91
62,324,199,490,335,250.39,53.8,248.29
42,141,420,290,458,170.84,35.2,170.01
50,442,417,456,317,214.65,55.4,203.87
77,409,181,374,386,315.4,113.4,309.55
90,34,449,381,421,364.74,89.8,361.08
18,369,358,378,426,76.46,16.4,73.14
63,274,456,46,397,252.44,43.6,252.44
50,74,432,258,471,200.98,34.8,200.15
101,422,397,47,472,411.34,72.6,406.07
28,172,384,64,398,115.46,12.2,113.8
10,159,473,134,443,40.36,14.4,40.36
39,60,446,203,406,159.57,27.6,159.57
65,337,418,108,501,266.31,34.6,263.38
67,237,472,444,324,270.06,34.8,269.48
47,301,457,137,405,193.58,37.8,191.92
49,42,415,233,435,199.28,24.0,199.28
12,191,438,142,442,50.66,12.2,50.66
68,434,236,332,408,279.91,70.6,273.81
57,461,378,399,189,232.76,63.2,231.25
28,174,442,65,456,114.8,13.0,114.8
48,230,457,410,419,198.23,40.0,195.74
14,73,364,41,410,59.25,13.4,59.25
80,29,407,324,416,325.82,95.2,322.75
73,439,425,179,390,297.79,67.2,294.38
35,248,449,367,389,144.44,26.0,143.85
23,78,446,72,355,94.07,21.8,93.49
102,35,415,405,374,415.49,146.6,411.84
125,383,80,303,428,506.98,155.2,503.47
49,112,402,294,445,202.3,52.0,199.81
30,55,404,163,373,121.43,14.4,120.84
35,147,380,101,501,141.23,25.0,140.05
61,365,116,406,123,0.0,288.4,244.59
83,354,415,50,407,338.31,84.8,332.17
7,258,220,230,219,28.41,8.2,28.41
52,354,413,168,469,210.37,27.4,209.2
19,18,432,72,377,77.37,7.6,77.37
76,368,371,105,453,307.51,36.8,305.75
38,272,477,132,476,153.18,20.2,152.84
27,126,463,26,437,114.28,23.4,110.77
34,466,330,404,394,146.85,53.2,139.34
127,412,224,158,380,521.51,292.6,511.17
80,266,476,464,377,323.37,99.6,321.86
60,319,459,88,484,250.47,33.0,241.36
71,159,439,425,436,286.88,57.4,284.64
98,232,464,446,233,397.62,112.6,395.03
26,38,436,126,482,112.91,21.8,107.05
15,455,329,502,360,62.18,14.2,62.43
63,383,399,167,398,257.01,45.8,254.52
33,180,380,61,346,133.08,22.2,133.08
62,26,418,255,467,249.3,56.4,249.3
127,236,219,450,408,521.27,222.4,511.07
84,376,351,369,209,339.09,75.4,337.58
83,374,416,67,406,343.21,113.8,335.17
3,430,421,430,406,15.0,11.2,15.0
115,372,116,388,399,469.16,199.8,460.37
78,384,82,451,337,316.53,70.8,315.95
55,440,407,237,437,223.23,42.6,222.05
21,221,460,301,471,84.56,14.8,84.56
76,326,194,420,373,321.43,110.8,306.26
